count,uri
250,http:/dx.doi.org/10.1186/gb-2011-12-6-224
131,http:/dx.doi.org/10.1186/gb-2004-5-10-r84
80,http:/dx.doi.org/10.1186/gb-2010-11-3-r31
49,http:/dx.doi.org/10.5194/hess-11-1633-2007
47,http:/dx.doi.org/10.1186/gb-2004-5-2-r8
35,http:/dx.doi.org/10.1098/rspb.2007.1370
26,http:/dx.doi.org/10.1098/rsbl.2009.1024
25,http:/dx.doi.org/10.1186/1471-2164-7-155
21,http:/dx.doi.org/10.1186/1742-4690-2-11
20,http:/dx.doi.org/10.1186/1471-2156-10-59
20,http:/dx.doi.org/10.1098/rstb.2000.0635
20,http:/dx.doi.org/10.1186/gb-2007-8-8-r154
19,http:/dx.doi.org/10.3897/zookeys.324.5827
17,http:/dx.doi.org/10.1186/1471-2156-5-26
16,http:/dx.doi.org/10.1371/journal.pone.0026964
16,http:/dx.doi.org/10.1098/rspb.2001.1883
15,http:/dx.doi.org/10.1371/journal.pone.0012292
15,http:/dx.doi.org/10.3897/zookeys.204.2740
15,http:/dx.doi.org/10.1371/journal.pone.0014075
15,http:/dx.doi.org/10.1186/1471-2156-2-13
14,http:/dx.doi.org/10.1186/1745-6150-1-19
14,http:/dx.doi.org/10.1371/journal.pone.0034288
13,http:/dx.doi.org/10.1371/journal.pone.0029234
13,http:/dx.doi.org/10.3897/zookeys.28.325
13,http:/dx.doi.org/10.1371/journal.pone.0007062
13,http:/dx.doi.org/10.1186/1471-2105-9-471
12,http:/dx.doi.org/10.1186/1471-2148-7-124
12,http:/dx.doi.org/10.1098/rspb.2006.0443
12,http:/dx.doi.org/10.1371/journal.pbio.0020207
12,http:/dx.doi.org/10.1186/1471-2148-9-181
12,http:/dx.doi.org/10.1371/journal.pone.0000790
12,http:/dx.doi.org/10.1098/rsbl.2006.0523
12,http:/dx.doi.org/10.1371/journal.pone.0023852
11,http:/dx.doi.org/10.1371/journal.pbio.1000436
11,http:/dx.doi.org/10.1371/journal.pmed.0050045
11,http:/dx.doi.org/10.1371/journal.pone.0002621
11,http:/dx.doi.org/10.1098/rstl.1865.0008
11,http:/dx.doi.org/10.1186/1471-2148-9-154
11,http:/dx.doi.org/10.1371/journal.pbio.1000285
11,http:/dx.doi.org/10.1371/journal.pgen.0020220
11,http:/dx.doi.org/10.1186/1741-7007-6-10
10,http:/dx.doi.org/10.1098/rspb.2011.0439
10,http:/dx.doi.org/10.3897/zookeys.273.4591
10,http:/dx.doi.org/10.1371/journal.pone.0012862
10,http:/dx.doi.org/10.1371/journal.pone.0002098
10,http:/dx.doi.org/10.1186/1471-2164-10-143
10,http:/dx.doi.org/10.1098/rspb.2005.3260
10,http:/dx.doi.org/10.1098/rspb.2009.0806
9,http:/dx.doi.org/10.1371/journal.pone.0001430
9,http:/dx.doi.org/10.1186/1471-2148-4-28
